number,operon,start,end,gene,strand,direction
597,GCF_000364385.3_ASM36438v3_genomic_operon_1,18067,19386,X-unknown,forward,1
598,GCF_000406765.2_ASM40676v2_genomic_operon_1,1288,2607,X-unknown,reverse,-1
599,GCF_000406765.2_ASM40676v2_genomic_operon_1,3019,4473,X-unknown,forward,1
600,GCF_000406765.2_ASM40676v2_genomic_operon_1,4532,6211,X-unknown,forward,1
601,GCF_000406765.2_ASM40676v2_genomic_operon_1,6294,6932,X-unknown,reverse,-1
602,GCF_000406765.2_ASM40676v2_genomic_operon_1,7112,7981,X-unknown,forward,1
603,GCF_000406765.2_ASM40676v2_genomic_operon_1,9168,9842,ssp6,forward,1
604,GCF_000406765.2_ASM40676v2_genomic_operon_1,9844,10191,X-unknown,forward,1
605,GCF_000406765.2_ASM40676v2_genomic_operon_1,10194,10673,TssD,forward,1
606,GCF_000406765.2_ASM40676v2_genomic_operon_1,11207,11686,X-unknown,reverse,-1
607,GCF_000406765.2_ASM40676v2_genomic_operon_1,12052,12318,X-unknown,reverse,-1
608,GCF_000406765.2_ASM40676v2_genomic_operon_1,13064,15397,X-unknown,reverse,-1
609,GCF_000406765.2_ASM40676v2_genomic_operon_1,15412,15732,X-unknown,reverse,-1
610,GCF_000406765.2_ASM40676v2_genomic_operon_1,15729,15956,X-unknown,reverse,-1
611,GCF_000406765.2_ASM40676v2_genomic_operon_1,15953,16147,X-unknown,reverse,-1
612,GCF_000406765.2_ASM40676v2_genomic_operon_1,16498,16764,X-unknown,reverse,-1
613,GCF_000406765.2_ASM40676v2_genomic_operon_1,17325,18062,X-unknown,forward,1
614,GCF_000406765.2_ASM40676v2_genomic_operon_1,18059,18304,X-unknown,forward,1
615,GCF_000406765.2_ASM40676v2_genomic_operon_1,18322,18888,X-unknown,forward,1
616,GCF_000417225.2_ASM41722v2_genomic_operon_1,19254,17872,X-unknown,reverse,-1
617,GCF_000417225.2_ASM41722v2_genomic_operon_1,17600,16281,X-unknown,reverse,-1
618,GCF_000417225.2_ASM41722v2_genomic_operon_1,15869,14415,X-unknown,forward,1
619,GCF_000417225.2_ASM41722v2_genomic_operon_1,14356,12677,X-unknown,forward,1
620,GCF_000417225.2_ASM41722v2_genomic_operon_1,12594,11956,X-unknown,reverse,-1
621,GCF_000417225.2_ASM41722v2_genomic_operon_1,11776,10907,X-unknown,forward,1
622,GCF_000417225.2_ASM41722v2_genomic_operon_1,9720,9046,ssp6,forward,1
623,GCF_000417225.2_ASM41722v2_genomic_operon_1,9044,8697,X-unknown,forward,1
624,GCF_000417225.2_ASM41722v2_genomic_operon_1,8694,8215,TssD,forward,1
625,GCF_000417225.2_ASM41722v2_genomic_operon_1,7681,7202,X-unknown,reverse,-1
626,GCF_000417225.2_ASM41722v2_genomic_operon_1,6836,6570,X-unknown,reverse,-1
627,GCF_000417225.2_ASM41722v2_genomic_operon_1,5824,3491,X-unknown,reverse,-1
628,GCF_000417225.2_ASM41722v2_genomic_operon_1,3476,3156,X-unknown,reverse,-1
629,GCF_000417225.2_ASM41722v2_genomic_operon_1,3159,2932,X-unknown,reverse,-1
630,GCF_000417225.2_ASM41722v2_genomic_operon_1,2935,2741,X-unknown,reverse,-1
631,GCF_000417225.2_ASM41722v2_genomic_operon_1,2390,2124,X-unknown,reverse,-1
632,GCF_000417225.2_ASM41722v2_genomic_operon_1,1563,826,X-unknown,forward,1
633,GCF_000417225.2_ASM41722v2_genomic_operon_1,829,584,X-unknown,forward,1
634,GCF_000417225.2_ASM41722v2_genomic_operon_1,566,0,X-unknown,forward,1
635,GCF_000513215.1_DB11_genomic_operon_1,19330,18623,X-unknown,reverse,-1
636,GCF_000513215.1_DB11_genomic_operon_1,18548,17865,X-unknown,reverse,-1
637,GCF_000513215.1_DB11_genomic_operon_1,17690,17343,X-unknown,forward,1
638,GCF_000513215.1_DB11_genomic_operon_1,17310,16579,X-unknown,reverse,-1
639,GCF_000513215.1_DB11_genomic_operon_1,16446,15550,X-unknown,forward,1
640,GCF_000513215.1_DB11_genomic_operon_1,15381,14884,X-unknown,forward,1
641,GCF_000513215.1_DB11_genomic_operon_1,14851,14345,X-unknown,reverse,-1
642,GCF_000513215.1_DB11_genomic_operon_1,14282,14025,X-unknown,reverse,-1
643,GCF_000513215.1_DB11_genomic_operon_1,13791,13321,X-unknown,reverse,-1
644,GCF_000513215.1_DB11_genomic_operon_1,13301,12648,X-unknown,reverse,-1
645,GCF_000513215.1_DB11_genomic_operon_1,12533,11583,X-unknown,forward,1
646,GCF_000513215.1_DB11_genomic_operon_1,11659,11228,X-unknown,reverse,-1
647,GCF_000513215.1_DB11_genomic_operon_1,11136,10225,X-unknown,forward,1
648,GCF_000513215.1_DB11_genomic_operon_1,10138,9923,X-unknown,reverse,-1
649,GCF_000513215.1_DB11_genomic_operon_1,9926,9282,ssp6,reverse,-1
650,GCF_000513215.1_DB11_genomic_operon_1,9101,7509,X-unknown,forward,1
651,GCF_000513215.1_DB11_genomic_operon_1,7457,6702,X-unknown,reverse,-1
652,GCF_000513215.1_DB11_genomic_operon_1,6699,5461,X-unknown,reverse,-1
653,GCF_000513215.1_DB11_genomic_operon_1,5303,4767,X-unknown,forward,1
654,GCF_000513215.1_DB11_genomic_operon_1,4409,3453,X-unknown,forward,1
655,GCF_000513215.1_DB11_genomic_operon_1,3433,1559,X-unknown,forward,1
656,GCF_000513215.1_DB11_genomic_operon_1,1535,0,X-unknown,forward,1
657,GCF_000513215.1_DB11_genomic_operon_2,434,1618,X-unknown,forward,1
658,GCF_000513215.1_DB11_genomic_operon_2,1637,2560,X-unknown,forward,1
659,GCF_000513215.1_DB11_genomic_operon_2,2606,3997,X-unknown,forward,1
660,GCF_000513215.1_DB11_genomic_operon_2,4010,4780,X-unknown,forward,1
661,GCF_000513215.1_DB11_genomic_operon_2,5152,6288,X-unknown,forward,1
662,GCF_000513215.1_DB11_genomic_operon_2,6323,7144,X-unknown,reverse,-1
663,GCF_000513215.1_DB11_genomic_operon_2,7266,7643,X-unknown,forward,1
664,GCF_000513215.1_DB11_genomic_operon_2,7654,8529,X-unknown,forward,1
665,GCF_000513215.1_DB11_genomic_operon_2,8762,9682,X-unknown,forward,1
666,GCF_000513215.1_DB11_genomic_operon_2,9801,10004,X-unknown,reverse,-1
667,GCF_000513215.1_DB11_genomic_operon_2,10001,10648,ssp6,reverse,-1
668,GCF_000513215.1_DB11_genomic_operon_2,11198,11608,X-unknown,forward,1
669,GCF_000513215.1_DB11_genomic_operon_2,11610,12356,X-unknown,forward,1
670,GCF_000513215.1_DB11_genomic_operon_2,12396,14639,X-unknown,forward,1
671,GCF_000513215.1_DB11_genomic_operon_2,14686,15336,X-unknown,forward,1
672,GCF_000513215.1_DB11_genomic_operon_2,15329,16579,X-unknown,forward,1
673,GCF_000513215.1_DB11_genomic_operon_2,16614,17723,X-unknown,reverse,-1
674,GCF_000513215.1_DB11_genomic_operon_2,17726,19102,X-unknown,reverse,-1
675,GCF_000597905.1_ASM59790v1_genomic_operon_1,1288,2607,X-unknown,reverse,-1
676,GCF_000597905.1_ASM59790v1_genomic_operon_1,3019,4473,X-unknown,forward,1
677,GCF_000597905.1_ASM59790v1_genomic_operon_1,4532,6211,X-unknown,forward,1
678,GCF_000597905.1_ASM59790v1_genomic_operon_1,6294,6932,X-unknown,reverse,-1
679,GCF_000597905.1_ASM59790v1_genomic_operon_1,7112,7981,X-unknown,forward,1
680,GCF_000597905.1_ASM59790v1_genomic_operon_1,9168,9842,ssp6,forward,1
681,GCF_000597905.1_ASM59790v1_genomic_operon_1,9844,10191,X-unknown,forward,1
682,GCF_000597905.1_ASM59790v1_genomic_operon_1,10194,10673,TssD,forward,1
683,GCF_000597905.1_ASM59790v1_genomic_operon_1,11207,11686,X-unknown,reverse,-1
684,GCF_000597905.1_ASM59790v1_genomic_operon_1,12052,12318,X-unknown,reverse,-1
685,GCF_000597905.1_ASM59790v1_genomic_operon_1,13063,15396,X-unknown,reverse,-1
686,GCF_000597905.1_ASM59790v1_genomic_operon_1,15411,15731,X-unknown,reverse,-1
687,GCF_000597905.1_ASM59790v1_genomic_operon_1,15728,15955,X-unknown,reverse,-1
688,GCF_000597905.1_ASM59790v1_genomic_operon_1,15952,16146,X-unknown,reverse,-1
689,GCF_000597905.1_ASM59790v1_genomic_operon_1,16497,16763,X-unknown,reverse,-1
690,GCF_000597905.1_ASM59790v1_genomic_operon_1,17324,18061,X-unknown,forward,1
691,GCF_000597905.1_ASM59790v1_genomic_operon_1,18058,18303,X-unknown,forward,1
692,GCF_000597905.1_ASM59790v1_genomic_operon_1,18321,18887,X-unknown,forward,1
693,GCF_000740965.1_ASM74096v1_genomic_operon_1,17666,16506,X-unknown,forward,1
694,GCF_000740965.1_ASM74096v1_genomic_operon_1,16389,15184,X-unknown,forward,1
695,GCF_000740965.1_ASM74096v1_genomic_operon_1,15134,14772,X-unknown,reverse,-1
696,GCF_000740965.1_ASM74096v1_genomic_operon_1,14740,14354,X-unknown,reverse,-1
697,GCF_000740965.1_ASM74096v1_genomic_operon_1,14239,13694,X-unknown,forward,1
698,GCF_000740965.1_ASM74096v1_genomic_operon_1,13642,13085,X-unknown,reverse,-1
699,GCF_000740965.1_ASM74096v1_genomic_operon_1,13052,12612,X-unknown,reverse,-1
700,GCF_000740965.1_ASM74096v1_genomic_operon_1,12612,12373,X-unknown,reverse,-1
701,GCF_000740965.1_ASM74096v1_genomic_operon_1,12073,11768,X-unknown,forward,1
702,GCF_000740965.1_ASM74096v1_genomic_operon_1,11771,10521,X-unknown,forward,1
703,GCF_000740965.1_ASM74096v1_genomic_operon_1,10378,10076,X-unknown,reverse,-1
704,GCF_000740965.1_ASM74096v1_genomic_operon_1,9586,9107,TssD,forward,1
705,GCF_000740965.1_ASM74096v1_genomic_operon_1,9089,8892,X-unknown,reverse,-1
706,GCF_000740965.1_ASM74096v1_genomic_operon_1,8895,8722,X-unknown,reverse,-1
707,GCF_000740965.1_ASM74096v1_genomic_operon_1,8744,8199,X-unknown,reverse,-1
708,GCF_000740965.1_ASM74096v1_genomic_operon_1,8055,7858,X-unknown,reverse,-1
709,GCF_000740965.1_ASM74096v1_genomic_operon_1,7858,7172,ssp6,reverse,-1
710,GCF_000740965.1_ASM74096v1_genomic_operon_1,6844,5981,X-unknown,reverse,-1
711,GCF_000740965.1_ASM74096v1_genomic_operon_1,5882,4974,X-unknown,reverse,-1
712,GCF_000740965.1_ASM74096v1_genomic_operon_1,4768,3821,X-unknown,reverse,-1
713,GCF_000740965.1_ASM74096v1_genomic_operon_1,3761,2940,X-unknown,reverse,-1
714,GCF_000740965.1_ASM74096v1_genomic_operon_1,2937,1837,X-unknown,reverse,-1
715,GCF_000740965.1_ASM74096v1_genomic_operon_1,1828,929,X-unknown,reverse,-1
716,GCF_000740965.1_ASM74096v1_genomic_operon_1,920,0,X-unknown,reverse,-1
717,GCF_000740965.1_ASM74096v1_genomic_operon_2,553,1428,X-unknown,forward,1
718,GCF_000740965.1_ASM74096v1_genomic_operon_2,1578,1796,X-unknown,forward,1
719,GCF_000740965.1_ASM74096v1_genomic_operon_2,1817,2131,X-unknown,forward,1
720,GCF_000740965.1_ASM74096v1_genomic_operon_2,2210,2506,X-unknown,forward,1
721,GCF_000740965.1_ASM74096v1_genomic_operon_2,2560,2796,X-unknown,forward,1
722,GCF_000740965.1_ASM74096v1_genomic_operon_2,2861,3211,X-unknown,forward,1
723,GCF_000740965.1_ASM74096v1_genomic_operon_2,3253,3516,X-unknown,forward,1
724,GCF_000740965.1_ASM74096v1_genomic_operon_2,3738,4508,X-unknown,forward,1
725,GCF_000740965.1_ASM74096v1_genomic_operon_2,4695,5174,X-unknown,reverse,-1
726,GCF_000740965.1_ASM74096v1_genomic_operon_2,5592,6119,X-unknown,reverse,-1
727,GCF_000740965.1_ASM74096v1_genomic_operon_2,6145,6879,X-unknown,reverse,-1
728,GCF_000740965.1_ASM74096v1_genomic_operon_2,8119,8526,X-unknown,forward,1
729,GCF_000740965.1_ASM74096v1_genomic_operon_2,8594,8806,X-unknown,forward,1
730,GCF_000740965.1_ASM74096v1_genomic_operon_2,9047,9781,ssp6,forward,1
731,GCF_000740965.1_ASM74096v1_genomic_operon_2,10254,10733,TssD,reverse,-1
732,GCF_000740965.1_ASM74096v1_genomic_operon_2,10762,10971,X-unknown,reverse,-1
733,GCF_000740965.1_ASM74096v1_genomic_operon_2,11350,11727,X-unknown,reverse,-1
734,GCF_000740965.1_ASM74096v1_genomic_operon_2,12360,12914,X-unknown,forward,1
735,GCF_000740965.1_ASM74096v1_genomic_operon_2,12932,13579,X-unknown,forward,1
736,GCF_000740965.1_ASM74096v1_genomic_operon_2,13669,14097,X-unknown,reverse,-1
737,GCF_000740965.1_ASM74096v1_genomic_operon_2,14161,14931,X-unknown,reverse,-1
738,GCF_000740965.1_ASM74096v1_genomic_operon_2,15115,15744,X-unknown,forward,1
739,GCF_000740965.1_ASM74096v1_genomic_operon_2,15943,16908,X-unknown,forward,1
740,GCF_000740965.1_ASM74096v1_genomic_operon_2,16994,18394,X-unknown,reverse,-1
741,GCF_000754345.1_ASM75434v1_genomic_operon_1,19777,19634,X-unknown,reverse,-1
742,GCF_000754345.1_ASM75434v1_genomic_operon_1,19621,18683,X-unknown,reverse,-1
743,GCF_000754345.1_ASM75434v1_genomic_operon_1,18674,18162,X-unknown,reverse,-1
744,GCF_000754345.1_ASM75434v1_genomic_operon_1,18149,17613,X-unknown,reverse,-1
745,GCF_000754345.1_ASM75434v1_genomic_operon_1,17602,14966,X-unknown,reverse,-1
746,GCF_000754345.1_ASM75434v1_genomic_operon_1,14874,14104,X-unknown,reverse,-1
747,GCF_000754345.1_ASM75434v1_genomic_operon_1,14107,13571,X-unknown,reverse,-1
748,GCF_000754345.1_ASM75434v1_genomic_operon_1,13488,12940,X-unknown,reverse,-1
749,GCF_000754345.1_ASM75434v1_genomic_operon_1,12793,12512,X-unknown,reverse,-1
750,GCF_000754345.1_ASM75434v1_genomic_operon_1,11324,11187,X-unknown,reverse,-1
751,GCF_000754345.1_ASM75434v1_genomic_operon_1,11058,10948,X-unknown,forward,1
752,GCF_000754345.1_ASM75434v1_genomic_operon_1,10561,10082,TssD,forward,1
753,GCF_000754345.1_ASM75434v1_genomic_operon_1,9845,9114,ssp6,reverse,-1
754,GCF_000754345.1_ASM75434v1_genomic_operon_1,8892,8629,X-unknown,reverse,-1
755,GCF_000754345.1_ASM75434v1_genomic_operon_1,8215,8105,X-unknown,forward,1
756,GCF_000754345.1_ASM75434v1_genomic_operon_1,7704,6550,X-unknown,forward,1
757,GCF_000754345.1_ASM75434v1_genomic_operon_1,6426,6145,X-unknown,reverse,-1
758,GCF_000754345.1_ASM75434v1_genomic_operon_1,6112,5315,X-unknown,reverse,-1
759,GCF_000754345.1_ASM75434v1_genomic_operon_1,5315,4719,X-unknown,reverse,-1
760,GCF_000754345.1_ASM75434v1_genomic_operon_1,4693,3944,X-unknown,reverse,-1
761,GCF_000754345.1_ASM75434v1_genomic_operon_1,3929,648,X-unknown,reverse,-1
762,GCF_000754345.1_ASM75434v1_genomic_operon_1,602,0,X-unknown,reverse,-1
763,GCF_000757785.1_ASM75778v1_genomic_operon_1,18051,17182,X-unknown,reverse,-1
764,GCF_000757785.1_ASM75778v1_genomic_operon_1,17073,15880,X-unknown,forward,1
765,GCF_000757785.1_ASM75778v1_genomic_operon_1,15567,14320,X-unknown,forward,1
766,GCF_000757785.1_ASM75778v1_genomic_operon_1,14244,14050,X-unknown,reverse,-1
767,GCF_000757785.1_ASM75778v1_genomic_operon_1,13893,12484,X-unknown,reverse,-1
768,GCF_000757785.1_ASM75778v1_genomic_operon_1,12395,10200,X-unknown,reverse,-1
769,GCF_000757785.1_ASM75778v1_genomic_operon_1,10121,9039,X-unknown,reverse,-1
770,GCF_000757785.1_ASM75778v1_genomic_operon_1,8836,8357,TssD,reverse,-1
771,GCF_000757785.1_ASM75778v1_genomic_operon_1,8304,8107,X-unknown,reverse,-1
772,GCF_000757785.1_ASM75778v1_genomic_operon_1,8117,7455,ssp6,reverse,-1
773,GCF_000757785.1_ASM75778v1_genomic_operon_1,7235,6318,X-unknown,reverse,-1
774,GCF_000757785.1_ASM75778v1_genomic_operon_1,6144,4522,X-unknown,forward,1
775,GCF_000757785.1_ASM75778v1_genomic_operon_1,4525,3806,X-unknown,forward,1
776,GCF_000757785.1_ASM75778v1_genomic_operon_1,3825,2860,X-unknown,reverse,-1
777,GCF_000757785.1_ASM75778v1_genomic_operon_1,2774,0,X-unknown,reverse,-1
778,GCF_000775375.1_ASM77537v1_genomic_operon_1,1786,2352,X-unknown,reverse,-1
779,GCF_000775375.1_ASM77537v1_genomic_operon_1,2370,2615,X-unknown,reverse,-1
780,GCF_000775375.1_ASM77537v1_genomic_operon_1,2612,3349,X-unknown,reverse,-1
781,GCF_000775375.1_ASM77537v1_genomic_operon_1,3910,4176,X-unknown,forward,1
782,GCF_000775375.1_ASM77537v1_genomic_operon_1,4527,4721,X-unknown,forward,1
783,GCF_000775375.1_ASM77537v1_genomic_operon_1,4718,4945,X-unknown,forward,1
784,GCF_000775375.1_ASM77537v1_genomic_operon_1,4942,5262,X-unknown,forward,1
785,GCF_000775375.1_ASM77537v1_genomic_operon_1,5277,7610,X-unknown,forward,1
786,GCF_000775375.1_ASM77537v1_genomic_operon_1,8356,8622,X-unknown,forward,1
787,GCF_000775375.1_ASM77537v1_genomic_operon_1,8988,9467,X-unknown,forward,1
788,GCF_000775375.1_ASM77537v1_genomic_operon_1,10001,10480,TssD,reverse,-1
789,GCF_000775375.1_ASM77537v1_genomic_operon_1,10483,10830,X-unknown,reverse,-1
790,GCF_000775375.1_ASM77537v1_genomic_operon_1,10832,11506,ssp6,reverse,-1
791,GCF_000775375.1_ASM77537v1_genomic_operon_1,11733,12713,X-unknown,forward,1
792,GCF_000775375.1_ASM77537v1_genomic_operon_1,13893,14762,X-unknown,reverse,-1
793,GCF_000775375.1_ASM77537v1_genomic_operon_1,14942,15580,X-unknown,forward,1
794,GCF_000775375.1_ASM77537v1_genomic_operon_1,15663,17342,X-unknown,reverse,-1
795,GCF_000775375.1_ASM77537v1_genomic_operon_1,17401,18855,X-unknown,reverse,-1
796,GCF_000775375.1_ASM77537v1_genomic_operon_1,19267,20586,X-unknown,forward,1
797,GCF_000775395.1_ASM77539v1_genomic_operon_1,1784,2350,X-unknown,reverse,-1
798,GCF_000775395.1_ASM77539v1_genomic_operon_1,2368,2613,X-unknown,reverse,-1
799,GCF_000775395.1_ASM77539v1_genomic_operon_1,2610,3347,X-unknown,reverse,-1
800,GCF_000775395.1_ASM77539v1_genomic_operon_1,3908,4174,X-unknown,forward,1
801,GCF_000775395.1_ASM77539v1_genomic_operon_1,4525,4719,X-unknown,forward,1
802,GCF_000775395.1_ASM77539v1_genomic_operon_1,4716,4943,X-unknown,forward,1
803,GCF_000775395.1_ASM77539v1_genomic_operon_1,4940,5260,X-unknown,forward,1
804,GCF_000775395.1_ASM77539v1_genomic_operon_1,5275,7608,X-unknown,forward,1
805,GCF_000775395.1_ASM77539v1_genomic_operon_1,8354,8620,X-unknown,forward,1
806,GCF_000775395.1_ASM77539v1_genomic_operon_1,8986,9465,X-unknown,forward,1
807,GCF_000775395.1_ASM77539v1_genomic_operon_1,9999,10478,TssD,reverse,-1
808,GCF_000775395.1_ASM77539v1_genomic_operon_1,10481,10828,X-unknown,reverse,-1
809,GCF_000775395.1_ASM77539v1_genomic_operon_1,10830,11504,ssp6,reverse,-1
810,GCF_000775395.1_ASM77539v1_genomic_operon_1,12691,13560,X-unknown,reverse,-1
811,GCF_000775395.1_ASM77539v1_genomic_operon_1,13740,14378,X-unknown,forward,1
812,GCF_000775395.1_ASM77539v1_genomic_operon_1,14461,16140,X-unknown,reverse,-1
813,GCF_000775395.1_ASM77539v1_genomic_operon_1,16199,17653,X-unknown,reverse,-1
814,GCF_000775395.1_ASM77539v1_genomic_operon_1,18065,19384,X-unknown,forward,1
815,GCF_000775395.1_ASM77539v1_genomic_operon_1,19656,21038,X-unknown,forward,1
816,GCF_000784985.1_ASM78498v1_genomic_operon_1,1786,2352,X-unknown,reverse,-1
817,GCF_000784985.1_ASM78498v1_genomic_operon_1,2370,2615,X-unknown,reverse,-1
818,GCF_000784985.1_ASM78498v1_genomic_operon_1,2612,3349,X-unknown,reverse,-1
819,GCF_000784985.1_ASM78498v1_genomic_operon_1,3910,4176,X-unknown,forward,1
820,GCF_000784985.1_ASM78498v1_genomic_operon_1,4527,4721,X-unknown,forward,1
821,GCF_000784985.1_ASM78498v1_genomic_operon_1,4718,4945,X-unknown,forward,1
822,GCF_000784985.1_ASM78498v1_genomic_operon_1,4942,5262,X-unknown,forward,1
823,GCF_000784985.1_ASM78498v1_genomic_operon_1,5277,7610,X-unknown,forward,1
824,GCF_000784985.1_ASM78498v1_genomic_operon_1,8356,8622,X-unknown,forward,1
825,GCF_000784985.1_ASM78498v1_genomic_operon_1,8988,9467,X-unknown,forward,1
826,GCF_000784985.1_ASM78498v1_genomic_operon_1,10001,10480,TssD,reverse,-1
827,GCF_000784985.1_ASM78498v1_genomic_operon_1,10483,10830,X-unknown,reverse,-1
828,GCF_000784985.1_ASM78498v1_genomic_operon_1,10832,11506,ssp6,reverse,-1
829,GCF_000784985.1_ASM78498v1_genomic_operon_1,12693,13562,X-unknown,reverse,-1
830,GCF_000784985.1_ASM78498v1_genomic_operon_1,13742,14380,X-unknown,forward,1
831,GCF_000784985.1_ASM78498v1_genomic_operon_1,14463,16142,X-unknown,reverse,-1
832,GCF_000784985.1_ASM78498v1_genomic_operon_1,16201,17655,X-unknown,reverse,-1
833,GCF_000784985.1_ASM78498v1_genomic_operon_1,18067,19386,X-unknown,forward,1
834,GCF_000785005.1_ASM78500v1_genomic_operon_1,151,1605,X-unknown,forward,1
835,GCF_000785005.1_ASM78500v1_genomic_operon_1,1664,3343,X-unknown,forward,1
836,GCF_000785005.1_ASM78500v1_genomic_operon_1,3426,4064,X-unknown,reverse,-1
837,GCF_000785005.1_ASM78500v1_genomic_operon_1,4244,5113,X-unknown,forward,1
838,GCF_000785005.1_ASM78500v1_genomic_operon_1,6300,6974,ssp6,forward,1
839,GCF_000785005.1_ASM78500v1_genomic_operon_1,6976,7323,X-unknown,forward,1
840,GCF_000785005.1_ASM78500v1_genomic_operon_1,7326,7805,TssD,forward,1
841,GCF_000785005.1_ASM78500v1_genomic_operon_1,8340,9089,X-unknown,reverse,-1
842,GCF_000785005.1_ASM78500v1_genomic_operon_1,9166,9450,X-unknown,reverse,-1
843,GCF_000785005.1_ASM78500v1_genomic_operon_1,9561,9674,X-unknown,forward,1
844,GCF_000785005.1_ASM78500v1_genomic_operon_1,9857,9979,X-unknown,reverse,-1
845,GCF_000785005.1_ASM78500v1_genomic_operon_1,10104,10673,PAAR_motif,forward,1
846,GCF_000785005.1_ASM78500v1_genomic_operon_1,10695,11663,X-unknown,forward,1
847,GCF_000785005.1_ASM78500v1_genomic_operon_1,11770,12297,X-unknown,forward,1
848,GCF_000785005.1_ASM78500v1_genomic_operon_1,12287,12550,X-unknown,forward,1
849,GCF_000785005.1_ASM78500v1_genomic_operon_1,12730,13968,X-unknown,forward,1
850,GCF_000785005.1_ASM78500v1_genomic_operon_1,13931,14197,X-unknown,forward,1
851,GCF_000785005.1_ASM78500v1_genomic_operon_1,14880,15764,X-unknown,forward,1
852,GCF_000785005.1_ASM78500v1_genomic_operon_1,16363,16872,X-unknown,reverse,-1
853,GCF_000812205.2_ASM81220v2_genomic_operon_1,19316,18645,X-unknown,forward,1
854,GCF_000812205.2_ASM81220v2_genomic_operon_1,18634,17576,X-unknown,reverse,-1
855,GCF_000812205.2_ASM81220v2_genomic_operon_1,17486,16641,X-unknown,forward,1
856,GCF_000812205.2_ASM81220v2_genomic_operon_1,16644,15487,X-unknown,reverse,-1
857,GCF_000812205.2_ASM81220v2_genomic_operon_1,15278,14853,X-unknown,forward,1
858,GCF_000812205.2_ASM81220v2_genomic_operon_1,14814,14368,X-unknown,reverse,-1
859,GCF_000812205.2_ASM81220v2_genomic_operon_1,14138,12951,X-unknown,forward,1
860,GCF_000812205.2_ASM81220v2_genomic_operon_1,12734,12444,X-unknown,forward,1
861,GCF_000812205.2_ASM81220v2_genomic_operon_1,12241,11480,X-unknown,forward,1
862,GCF_000812205.2_ASM81220v2_genomic_operon_1,11323,11003,X-unknown,forward,1
863,GCF_000812205.2_ASM81220v2_genomic_operon_1,11012,10632,X-unknown,forward,1
864,GCF_000812205.2_ASM81220v2_genomic_operon_1,10583,10101,TssD,reverse,-1
865,GCF_000812205.2_ASM81220v2_genomic_operon_1,10082,9888,X-unknown,reverse,-1
866,GCF_000812205.2_ASM81220v2_genomic_operon_1,9883,9167,ssp6,reverse,-1
867,GCF_000812205.2_ASM81220v2_genomic_operon_1,8758,8660,X-unknown,reverse,-1
868,GCF_000812205.2_ASM81220v2_genomic_operon_1,8595,8149,X-unknown,reverse,-1
869,GCF_000812205.2_ASM81220v2_genomic_operon_1,7894,6443,X-unknown,reverse,-1
870,GCF_000812205.2_ASM81220v2_genomic_operon_1,6329,5799,X-unknown,reverse,-1
871,GCF_000812205.2_ASM81220v2_genomic_operon_1,5721,4297,X-unknown,reverse,-1
872,GCF_000812205.2_ASM81220v2_genomic_operon_1,4182,3814,X-unknown,reverse,-1
873,GCF_000812205.2_ASM81220v2_genomic_operon_1,3814,2888,X-unknown,reverse,-1
874,GCF_000812205.2_ASM81220v2_genomic_operon_1,2806,1421,X-unknown,reverse,-1
875,GCF_000812205.2_ASM81220v2_genomic_operon_1,1314,436,X-unknown,forward,1
876,GCF_000812205.2_ASM81220v2_genomic_operon_1,482,0,X-unknown,reverse,-1
877,GCF_000834195.1_ASM83419v1_genomic_operon_1,19130,17826,X-unknown,reverse,-1
878,GCF_000834195.1_ASM83419v1_genomic_operon_1,17315,15780,X-unknown,forward,1
879,GCF_000834195.1_ASM83419v1_genomic_operon_1,15694,14975,X-unknown,reverse,-1
880,GCF_000834195.1_ASM83419v1_genomic_operon_1,14664,13090,X-unknown,forward,1
881,GCF_000834195.1_ASM83419v1_genomic_operon_1,12860,12330,X-unknown,forward,1
882,GCF_000834195.1_ASM83419v1_genomic_operon_1,12193,11405,X-unknown,reverse,-1
883,GCF_000834195.1_ASM83419v1_genomic_operon_1,10851,10495,X-unknown,reverse,-1
884,GCF_000834195.1_ASM83419v1_genomic_operon_1,9992,9351,ssp6,forward,1
885,GCF_000834195.1_ASM83419v1_genomic_operon_1,9370,9152,X-unknown,forward,1
886,GCF_000834195.1_ASM83419v1_genomic_operon_1,8604,8275,X-unknown,reverse,-1
887,GCF_000834195.1_ASM83419v1_genomic_operon_1,8300,8070,X-unknown,reverse,-1
888,GCF_000834195.1_ASM83419v1_genomic_operon_1,7668,6871,X-unknown,forward,1
889,GCF_000834195.1_ASM83419v1_genomic_operon_1,6846,6400,X-unknown,reverse,-1
890,GCF_000834195.1_ASM83419v1_genomic_operon_1,6285,5629,X-unknown,reverse,-1
891,GCF_000834195.1_ASM83419v1_genomic_operon_1,5559,4486,X-unknown,reverse,-1
892,GCF_000834195.1_ASM83419v1_genomic_operon_1,4447,4175,X-unknown,reverse,-1
893,GCF_000834195.1_ASM83419v1_genomic_operon_1,3971,3606,X-unknown,reverse,-1
894,GCF_000834195.1_ASM83419v1_genomic_operon_1,3057,2371,X-unknown,forward,1
895,GCF_000834195.1_ASM83419v1_genomic_operon_1,2345,1533,X-unknown,forward,1
896,GCF_000834195.1_ASM83419v1_genomic_operon_1,1529,1260,X-unknown,forward,1
897,GCF_000834195.1_ASM83419v1_genomic_operon_1,1121,0,X-unknown,reverse,-1
